locus_tag,start,end,length,strand,old_locus_tag,ncbi_protein,gene_name,gene_product,Eggnog_description,COG_category,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,ENTRAF_TF,ENTRAF_hmm_acc,ENTRAF_hmm_name,ENTRAF_Ortholog,DeepTFactor_TF,DeepTFactor_score,P2TF_TF,P2TF_class,P2TF_type,P2TF_description
SYNPCC7942_RS06540,1301174,1301524,351,-,Synpcc7942_1277,WP_011242589.1,rplT,50S ribosomal protein L20,Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit,J,"GO:0000027,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006996,GO:0008150,GO:0009987,GO:0015934,GO:0016043,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0032991,GO:0034622,GO:0042254,GO:0042255,GO:0042273,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043933,GO:0044085,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071826,GO:0071840,GO:1990904",,ko:K02887,"ko03010,map03010",M00178,,,"br01610,ko00000,ko00001,ko00002,ko03011",,,,Ribosomal_L20,False,,,,False,0.0204,False,,,
SYNPCC7942_RS06545,1301569,1301769,201,-,Synpcc7942_1278,WP_011242588.1,rpmI,50S ribosomal protein L35,Belongs to the bacterial ribosomal protein bL35 family,J,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904",,ko:K02916,"ko03010,map03010",M00178,,,"br01610,ko00000,ko00001,ko00002,ko03011",,,,Ribosomal_L35p,False,,,,False,0.0078,False,,,
SYNPCC7942_RS06550,1301796,1302047,252,-,Synpcc7942_1279,WP_011377953.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0055,False,,,
SYNPCC7942_RS06555,1302044,1303138,1095,-,Synpcc7942_1280,WP_011377954.1,,FUSC family protein,,X,,,,,,,,,,,,"FUSC,FUSC_2,Sugar_tr",False,,,,False,0.0084,False,,,
SYNPCC7942_RS06560,1303144,1303836,693,-,Synpcc7942_1281,WP_011377955.1,,hypothetical protein,Tetratricopeptide repeat,S,,,,,,,,,,,,,False,,,,False,0.0099,False,,,
SYNPCC7942_RS06565,1304480,1305463,984,-,Synpcc7942_1282,WP_011377956.1,moaA,GTP 3'%2C8-cyclase MoaA,"Catalyzes the cyclization of GTP to (8S)-3',8-cyclo-7,8- dihydroguanosine 5'-triphosphate",H,,4.1.99.22,ko:K03639,"ko00790,ko01100,ko04122,map00790,map01100,map04122",,R09394,RC03420,"ko00000,ko00001,ko01000",,,,"Fer4_12,Fer4_14,Mob_synth_C,Radical_SAM",False,,,,False,0.1687,False,,,
SYNPCC7942_RS06570,1305460,1305957,498,-,Synpcc7942_1283,WP_011377957.1,moaE,molybdenum cofactor biosynthesis protein MoaE,Molybdopterin converting factor,H,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006163,GO:0006725,GO:0006732,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009141,GO:0009144,GO:0009150,GO:0009199,GO:0009205,GO:0009259,GO:0009987,GO:0016740,GO:0016782,GO:0016783,GO:0018130,GO:0019538,GO:0019637,GO:0019693,GO:0030366,GO:0032324,GO:0034641,GO:0042278,GO:0043170,GO:0043545,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046039,GO:0046128,GO:0046483,GO:0051186,GO:0051188,GO:0051189,GO:0055086,GO:0071704,GO:0072521,GO:0090407,GO:1901068,GO:1901135,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657",2.8.1.12,ko:K03635,"ko00790,ko01100,ko04122,map00790,map01100,map04122",,R09395,RC02507,"ko00000,ko00001,ko01000",,,,MoaE,False,,,,False,0.0124,False,,,
SYNPCC7942_RS06575,1305960,1306232,273,-,Synpcc7942_1284,WP_011377958.1,moaD,molybdopterin synthase sulfur carrier subunit MoaD,,X,,,,,,,,,,,,,False,,,,False,0.0069,False,,,
SYNPCC7942_RS06580,1306229,1307200,972,-,Synpcc7942_1285,WP_011377959.1,moaC,bifunctional molybdenum cofactor biosynthesis protein MoaC/MoaB,"Catalyzes the conversion of (8S)-3',8-cyclo-7,8- dihydroguanosine 5'-triphosphate to cyclic pyranopterin monophosphate (cPMP)",H,,4.6.1.17,ko:K03637,"ko00790,ko01100,ko04122,map00790,map01100,map04122",,R11372,RC03425,"ko00000,ko00001,ko01000",,,,MoaC,False,,,,False,0.0076,False,,,
SYNPCC7942_RS06585,1307304,1308515,1212,+,Synpcc7942_1286,WP_011377960.1,moeA,molybdopterin molybdotransferase MoeA,Molybdopterin biosynthesis,H,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006163,GO:0006464,GO:0006725,GO:0006732,GO:0006753,GO:0006777,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009116,GO:0009117,GO:0009119,GO:0009141,GO:0009144,GO:0009150,GO:0009199,GO:0009205,GO:0009259,GO:0009987,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0018315,GO:0019538,GO:0019637,GO:0019693,GO:0019720,GO:0032324,GO:0034641,GO:0036211,GO:0042040,GO:0042278,GO:0043170,GO:0043412,GO:0043545,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044281,GO:0044424,GO:0044464,GO:0046039,GO:0046128,GO:0046483,GO:0051186,GO:0051188,GO:0051189,GO:0055086,GO:0061598,GO:0061599,GO:0070566,GO:0071704,GO:0072521,GO:0090407,GO:1901068,GO:1901135,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657",2.10.1.1,ko:K03750,"ko00790,ko01100,map00790,map01100",,R09735,RC03462,"ko00000,ko00001,ko01000",,,,"MoCF_biosynth,MoeA_C,MoeA_N",False,,,,False,0.017,False,,,
SYNPCC7942_RS06590,1309030,1310862,1833,+,Synpcc7942_1287,WP_011377961.1,,VCBS domain-containing protein,COG2931 RTX toxins and related Ca2 -binding proteins,Q,,,,,,,,,,,,"An_peroxidase,Cadherin_3,HemolysinCabind",False,,,,False,0.0056,False,,,
SYNPCC7942_RS06595,1311028,1311534,507,+,Synpcc7942_1288,WP_011377962.1,,DUF4240 domain-containing protein,Protein of unknown function (DUF4240),S,,,,,,,,,,,,DUF4240,False,,,,False,0.009,False,,,
SYNPCC7942_RS06600,1311841,1313181,1341,+,Synpcc7942_1289,WP_011377963.1,pmbA,TldD/PmbA family protein,Modulator of DNA gyrase,S,,,ko:K03592,,,,,"ko00000,ko01002",,,,PmbA_TldD,False,,,,False,0.0058,False,,,
SYNPCC7942_RS13750,1313290,1313460,171,-,Synpcc7942_1290,WP_011377964.1,smtA,metallothionein,Prokaryotic metallothionein,S,,,ko:K21904,,,,,ko00000,,,,Metallothio_Pro,False,,,,False,0.0035,False,,,
SYNPCC7942_RS06605,1313561,1313929,369,+,Synpcc7942_1291,WP_011242576.1,smtB,Zn(II)-sensing metalloregulatory transcriptional repressor SmtB,"helix_turn_helix, Arsenical Resistance Operon Repressor",K,,,ko:K21903,,,,,"ko00000,ko03000",,,,HTH_5,True,PF01022.19,HTH_5,NMTR_MYCTU,True,0.9996,True,TR,ArsR,"Transcription factor, ArsR family contains 1 HTH_5"
SYNPCC7942_RS06610,1313939,1316023,2085,-,Synpcc7942_1292,WP_011377965.1,dnaG,DNA primase,RNA polymerase that catalyzes the synthesis of short RNA molecules used as primers for DNA polymerase during DNA replication,L,,,ko:K02316,"ko03030,map03030",,,,"ko00000,ko00001,ko01000,ko03032",,,,"DnaB_bind,Toprim_2,Toprim_N,zf-CHC2",False,,,,False,0.0074,False,,,
SYNPCC7942_RS06615,1316166,1318598,2433,-,Synpcc7942_1293,WP_011377966.1,pheT,phenylalanine--tRNA ligase subunit beta,Belongs to the phenylalanyl-tRNA synthetase beta subunit family. Type 1 subfamily,J,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006432,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009328,GO:0009987,GO:0010467,GO:0016070,GO:0019538,GO:0019752,GO:0032991,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:1901360,GO:1901564,GO:1901566,GO:1901576,GO:1902494",6.1.1.20,ko:K01890,"ko00970,map00970","M00359,M00360",R03660,"RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016",,,,"B3_4,B5,FDX-ACB,tRNA_bind",False,,,,False,0.0074,False,,,
SYNPCC7942_RS06620,1318734,1320302,1569,+,Synpcc7942_1294,WP_011377967.1,,serine/threonine-protein kinase,Serine threonine-protein kinase B,KLT,,2.7.11.1,ko:K08884,,,,,"ko00000,ko01000,ko01001",,,,"Pentapeptide,Pkinase",False,,,,False,0.0066,False,,,
SYNPCC7942_RS06625,1320370,1321758,1389,-,Synpcc7942_1295,WP_011377968.1,,1-acyl-sn-glycerol-3-phosphate acyltransferase,Phosphate acyltransferases,I,,,,,,,,,,,,Acyltransferase,False,,,,True,0.5699,False,,,
SYNPCC7942_RS06630,1321898,1322593,696,+,Synpcc7942_1296,WP_011242571.1,,2OG-Fe(II) oxygenase family protein,Putative 2OG-Fe(II) oxygenase,S,,,,,,,,,,,,2OG-FeII_Oxy_5,False,,,,False,0.0117,False,,,
SYNPCC7942_RS06635,1322910,1324319,1410,+,Synpcc7942_1297,WP_011242570.1,me,NADP-dependent malic enzyme,Malic enzyme,C,,1.1.1.38,ko:K00027,"ko00620,ko01200,ko02020,map00620,map01200,map02020",,R00214,RC00105,"ko00000,ko00001,ko01000",,,,"ACT,ACT_4,Malic_M,malic",False,,,,False,0.0142,False,,,
SYNPCC7942_RS06640,1325107,1326837,1731,+,Synpcc7942_1298,WP_011377969.1,,GGDEF domain-containing protein,GGDEF domain,T,,2.7.7.65,ko:K13590,"ko04112,map04112",,,,"ko00000,ko00001,ko01000",,,,"DUF484,GAF_2,GGDEF,PAS_3,PAS_9,Response_reg",False,,,,False,0.0111,False,,,
SYNPCC7942_RS06645,1326892,1327854,963,-,Synpcc7942_1299,WP_011242568.1,,DUF362 domain-containing protein,Domain of unknown function (DUF362),S,,,,,,,,,,,,DUF362,False,,,,False,0.0205,False,,,
SYNPCC7942_RS06650,1328093,1328662,570,+,Synpcc7942_1300,WP_011242567.1,,5-formyltetrahydrofolate cyclo-ligase,Belongs to the 5-formyltetrahydrofolate cyclo-ligase family,H,,6.3.3.2,ko:K01934,"ko00670,ko01100,map00670,map01100",,R02301,RC00183,"ko00000,ko00001,ko01000",,,,5-FTHF_cyc-lig,False,,,,False,0.0093,False,,,
SYNPCC7942_RS06655,1328720,1330141,1422,+,Synpcc7942_1301,WP_011242566.1,recQ,RecQ family ATP-dependent DNA helicase,ATP-dependent DNA helicase RecQ,L,"GO:0003674,GO:0003676,GO:0003677,GO:0003678,GO:0003824,GO:0004003,GO:0004386,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005694,GO:0005737,GO:0006139,GO:0006259,GO:0006281,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0008026,GO:0008094,GO:0008150,GO:0008152,GO:0009378,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0032392,GO:0032508,GO:0033554,GO:0034641,GO:0042623,GO:0043138,GO:0043140,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051276,GO:0051716,GO:0070035,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0097159,GO:0140097,GO:1901360,GO:1901363",3.6.4.12,ko:K03654,"ko03018,map03018",,,,"ko00000,ko00001,ko01000,ko03400",,,,"DEAD,Helicase_C,RecQ_Zn_bind",False,,,,False,0.0065,False,,,
SYNPCC7942_RS06660,1330250,1330726,477,+,Synpcc7942_1302,WP_011377971.1,,universal stress protein,T COG0589 Universal stress protein UspA and related nucleotide-binding proteins,T,,,,,,,,,,,,Usp,False,,,,False,0.0113,False,,,
SYNPCC7942_RS06665,1330752,1331150,399,-,Synpcc7942_1303,WP_011242564.1,,hypothetical protein,serine threonine protein kinase,KLT,,,,,,,,,,,,,False,,,,False,0.0104,False,,,
SYNPCC7942_RS06670,1331160,1331732,573,-,Synpcc7942_1304,WP_011377972.1,,hypothetical protein,protein involved in exopolysaccharide biosynthesis,M,,,,,,,,,,,,,False,,,,False,0.0225,False,,,
SYNPCC7942_RS06675,1331834,1333444,1611,-,Synpcc7942_1305,WP_011377973.1,,ABC transporter ATP-binding protein,ABC transporter,P,,,"ko:K02031,ko:K02032","ko02024,map02024",M00239,,,"ko00000,ko00001,ko00002,ko02000",3.A.1.5,,,"ABC_tran,oligo_HPY",False,,,,False,0.0121,False,,,
SYNPCC7942_RS06680,1333522,1334082,561,-,Synpcc7942_1306,WP_011242561.1,,DUF3172 domain-containing protein,Protein of unknown function (DUF3172),S,,,,,,,,,,,,DUF3172,False,,,,False,0.0082,False,,,
SYNPCC7942_RS06685,1334181,1334996,816,+,Synpcc7942_1307,WP_011242560.1,,ABC transporter permease,"transport, permease protein",V,,,,,,,,,,,,ABC2_membrane,False,,,,False,0.005,False,,,
SYNPCC7942_RS06690,1335063,1336076,1014,+,Synpcc7942_1308,WP_011242559.1,trpS,tryptophan--tRNA ligase,Tryptophanyl-tRNA synthetase,J,,6.1.1.2,ko:K01867,"ko00970,map00970","M00359,M00360",R03664,"RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016",,,,tRNA-synt_1b,False,,,,False,0.0122,False,,,
SYNPCC7942_RS06695,1336073,1337005,933,+,Synpcc7942_1309,WP_011377975.1,metF,methylenetetrahydrofolate reductase,reductase,C,,1.5.1.20,ko:K00297,"ko00670,ko00720,ko01100,ko01120,ko01200,ko01523,map00670,map00720,map01100,map01120,map01200,map01523",M00377,"R01224,R07168",RC00081,"ko00000,ko00001,ko00002,ko01000",,,,MTHFR,False,,,,False,0.0166,False,,,
SYNPCC7942_RS06700,1337076,1338047,972,+,Synpcc7942_1310,WP_011242557.1,cmpR,HTH-type transcriptional activator CmpR,LysR family,K,,,ko:K21703,,,,,"ko00000,ko03000",,,,"HTH_1,LysR_substrate",True,PF00126.26,HTH_1,CMPR_SYNE7,True,0.9982,True,OCS,LysR,"Transcription factor, LysR family contains 1 HTH_1,1 LysR_substrate"
SYNPCC7942_RS06705,1338222,1338578,357,-,Synpcc7942_1311,WP_011377976.1,,IS630 transposase-related protein,Transposase,L,,,,,,,,,,,,"DDE_3,HTH_Tnp_IS630",False,,,,True,0.7743,False,,,
SYNPCC7942_RS06710,1338656,1340458,1803,-,Synpcc7942_1312,WP_011377977.1,,ABC transporter ATP-binding protein/permease,"ABC-type multidrug transport system, ATPase and permease components",P,,,ko:K06147,,,,,"ko00000,ko02000","3.A.1.106,3.A.1.109,3.A.1.21",,,"ABC_membrane,ABC_tran",False,,,,False,0.0049,False,,,
SYNPCC7942_RS06715,1340634,1342433,1800,+,Synpcc7942_1313,WP_011377978.1,aspS,aspartate--tRNA ligase,Aspartyl-tRNA synthetase with relaxed tRNA specificity since it is able to aspartylate not only its cognate tRNA(Asp) but also tRNA(Asn). Reaction proceeds in two steps L-aspartate is first activated by ATP to form Asp-AMP and then transferred to the acceptor end of tRNA(Asp Asn),J,,6.1.1.12,ko:K01876,"ko00970,map00970","M00359,M00360",R05577,"RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016,ko03029",,,iJN678.aspS,"GAD,tRNA-synt_2,tRNA_anti-codon",False,,,,False,0.0076,False,,,
SYNPCC7942_RS06720,1342534,1344405,1872,-,Synpcc7942_1314,WP_011377979.1,ftsH4,ATP-dependent zinc metalloprotease FtsH,"Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins",O,"GO:0003674,GO:0003824,GO:0004176,GO:0006091,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0009056,GO:0009057,GO:0009314,GO:0009416,GO:0009628,GO:0009642,GO:0009644,GO:0009765,GO:0009892,GO:0009987,GO:0010109,GO:0010205,GO:0010206,GO:0010304,GO:0015979,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019222,GO:0019538,GO:0019684,GO:0030091,GO:0030163,GO:0031323,GO:0031324,GO:0042548,GO:0042623,GO:0043155,GO:0043170,GO:0043467,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0065007,GO:0070011,GO:0071704,GO:0140096,GO:1901564,GO:1901565,GO:1901575,GO:1905156",,ko:K03798,,M00742,,,"ko00000,ko00002,ko01000,ko01002,ko03110",,,,"AAA,FtsH_ext,Peptidase_M41",False,,,,False,0.009,False,,,
SYNPCC7942_RS06725,1344583,1345983,1401,-,Synpcc7942_1315,WP_011242552.1,trmFO,FADH(2)-oxidizing methylenetetrahydrofolate--tRNA-(uracil(54)-C(5))-methyltransferase TrmFO,Catalyzes the folate-dependent formation of 5-methyl- uridine at position 54 (M-5-U54) in all tRNAs,J,"GO:0000166,GO:0001510,GO:0002097,GO:0002098,GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0030488,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0036094,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0048037,GO:0050660,GO:0050662,GO:0071704,GO:0090304,GO:0097159,GO:1901265,GO:1901360,GO:1901363",2.1.1.74,ko:K04094,,,,,"ko00000,ko01000,ko03016,ko03036",,,,GIDA,False,,,,False,0.0055,False,,,
SYNPCC7942_RS06730,1346077,1347114,1038,-,Synpcc7942_1316,WP_011377980.1,,zinc ABC transporter substrate-binding protein,Belongs to the bacterial solute-binding protein 9 family,P,,,"ko:K02077,ko:K09818",,"M00243,M00244",,,"ko00000,ko00002,ko02000",3.A.1.15,,,ZnuA,False,,,,False,0.0155,False,,,
SYNPCC7942_RS06735,1347173,1347910,738,+,Synpcc7942_1317,WP_011377981.1,,metal ABC transporter ATP-binding protein,"COG1121 ABC-type Mn Zn transport systems, ATPase component",P,,,ko:K09820,,M00243,,,"ko00000,ko00002,ko02000",3.A.1.15,,,ABC_tran,False,,,,False,0.0254,False,,,
SYNPCC7942_RS06740,1347917,1348768,852,+,Synpcc7942_1318,WP_011242549.1,,metal ABC transporter permease,ABC 3 transport family,P,,,"ko:K02075,ko:K09819",,"M00243,M00244",,,"ko00000,ko00002,ko02000",3.A.1.15,,,ABC-3,False,,,,False,0.0046,False,,,
SYNPCC7942_RS06745,1348834,1349373,540,+,Synpcc7942_1319,WP_011242548.1,pyrR,bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR,Also displays a weak uracil phosphoribosyltransferase activity which is not physiologically significant,F,,2.4.2.9,ko:K02825,"ko00240,ko01100,map00240,map01100",,R00966,RC00063,"ko00000,ko00001,ko01000,ko03000",,,,Pribosyltran,True,-,-,PYRR_BACSU,False,0.0246,False,,,
SYNPCC7942_RS06750,1349340,1350296,957,-,Synpcc7942_1320,WP_011242547.1,,CHAD domain-containing protein,CHAD domain,S,,,,,,,,,,,,CHAD,False,,,,False,0.0181,False,,,
SYNPCC7942_RS06755,1350414,1351433,1020,-,Synpcc7942_1321,WP_011377982.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.022,False,,,
SYNPCC7942_RS06760,1351613,1351840,228,+,Synpcc7942_1322,WP_011242545.1,psaE,photosystem I reaction center subunit IV,"Stabilizes the interaction between PsaC and the PSI core, assists the docking of the ferredoxin to PSI and interacts with ferredoxin-NADP oxidoreductase",S,"GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0009579,GO:0016020,GO:0034357,GO:0042651,GO:0044424,GO:0044436,GO:0044464,GO:0071944",,ko:K02693,"ko00195,ko01100,map00195,map01100",M00163,,,"ko00000,ko00001,ko00002,ko00194",,,,PSI_PsaE,False,,,,False,0.0073,False,,,
SYNPCC7942_RS06765,1351949,1352797,849,+,Synpcc7942_1323,WP_011377983.1,fpg,DNA-formamidopyrimidine glycosylase,"Involved in base excision repair of DNA damaged by oxidation or by mutagenic agents. Acts as DNA glycosylase that recognizes and removes damaged bases. Has a preference for oxidized purines, such as 7,8-dihydro-8-oxoguanine (8-oxoG). Has AP (apurinic apyrimidinic) lyase activity and introduces nicks in the DNA strand. Cleaves the DNA backbone by beta-delta elimination to generate a single-strand break at the site of the removed base with both 3'- and 5'-phosphates",L,,"3.2.2.23,4.2.99.18",ko:K10563,"ko03410,map03410",,,,"ko00000,ko00001,ko01000,ko03400",,,,"Fapy_DNA_glyco,H2TH,zf-FPG_IleRS",False,,,,False,0.0081,False,,,
SYNPCC7942_RS06770,1352829,1355588,2760,-,Synpcc7942_1324,WP_011377984.1,ski2,DEAD/DEAH box helicase,Superfamily II RNA helicase,L,,,,,,,,,,,,"DEAD,DSHCT,Helicase_C",False,,,,False,0.0074,False,,,
SYNPCC7942_RS06775,1355787,1357151,1365,+,Synpcc7942_1325,WP_011377985.1,dnaB,replicative DNA helicase,Participates in initiation and elongation during chromosome replication,L,"GO:0003674,GO:0003678,GO:0003824,GO:0004386,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006268,GO:0006725,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017111,GO:0032392,GO:0032508,GO:0034641,GO:0034645,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0051276,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0140097,GO:1901360,GO:1901576",3.6.4.12,ko:K02314,"ko03030,ko04112,map03030,map04112",,,,"ko00000,ko00001,ko01000,ko03032",,,,"DnaB,DnaB_C,Intein_splicing,LAGLIDADG_3",False,,,,False,0.0313,False,,,
SYNPCC7942_RS06780,1357232,1360693,3462,+,Synpcc7942_1326,WP_011377986.1,mfd,transcription-repair coupling factor,"Couples transcription and DNA repair by recognizing RNA polymerase (RNAP) stalled at DNA lesions. Mediates ATP-dependent release of RNAP and its truncated transcript from the DNA, and recruitment of nucleotide excision repair machinery to the damaged site",L,,,ko:K03723,"ko03420,map03420",,,,"ko00000,ko00001,ko01000,ko03400",,,,"CarD_CdnL_TRCF,DEAD,Helicase_C,TRCF",False,,,,False,0.0,False,,,
SYNPCC7942_RS06785,1360808,1361101,294,+,Synpcc7942_1327,WP_011377987.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0132,False,,,
SYNPCC7942_RS06790,1361167,1361559,393,+,Synpcc7942_1328,WP_011242540.1,,DUF1622 domain-containing protein,Protein of unknown function (DUF1622),S,,,,,,,,,,,,DUF1622,False,,,,False,0.0162,False,,,
SYNPCC7942_RS06795,1361879,1362505,627,+,Synpcc7942_1329,WP_011377988.1,,TPM domain-containing protein,COG1512 Beta-propeller domains of methanol dehydrogenase type,S,,,ko:K06872,,,,,ko00000,,,,TPM_phosphatase,False,,,,False,0.0079,False,,,
SYNPCC7942_RS06800,1362508,1363164,657,+,Synpcc7942_1330,WP_011377989.1,,methyltransferase domain-containing protein,COG0500 SAM-dependent methyltransferases,Q,,,,,,,,,,,,Methyltransf_11,False,,,,False,0.0087,False,,,
SYNPCC7942_RS06805,1363290,1363466,177,+,Synpcc7942_1331,WP_011242537.1,hli2,chlorophyll a/b-binding protein,Chlorophyll A-B binding protein,S,,,,,,,,,,,,Chloroa_b-bind,False,,,,False,0.0069,False,,,
SYNPCC7942_RS06810,1363471,1364091,621,+,Synpcc7942_1332,WP_011242536.1,queE,7-carboxy-7-deazaguanine synthase QueE,"Catalyzes the complex heterocyclic radical-mediated conversion of 6-carboxy-5,6,7,8-tetrahydropterin (CPH4) to 7- carboxy-7-deazaguanine (CDG), a step common to the biosynthetic pathways of all 7-deazapurine-containing compounds",H,,4.3.99.3,ko:K10026,"ko00790,ko01100,map00790,map01100",,R10002,RC02989,"ko00000,ko00001,ko01000,ko03016",,,,"Fer4_14,Radical_SAM",False,,,,False,0.0169,False,,,
